interval_from,interval_to,LST,land_type,land_class,elev_class
2023-03-01,2023-03-02,306.5,101.0,10.0,1.0
2023-03-01,2023-03-02,306.0,101.0,10.0,1.0
2023-03-01,2023-03-02,306.45001220703125,101.0,10.0,1.0
2023-03-01,2023-03-02,304.1199951171875,101.0,10.0,1.0
2023-03-01,2023-03-02,305.79998779296875,101.0,10.0,1.0
2023-03-01,2023-03-02,307.6199951171875,101.0,10.0,1.0
2023-03-01,2023-03-02,314.3699951171875,101.0,10.0,1.0
2023-03-01,2023-03-02,305.3900146484375,101.0,10.0,1.0
2023-03-01,2023-03-02,306.2300109863281,101.0,10.0,1.0
2023-03-01,2023-03-02,305.6000061035156,101.0,10.0,1.0
2023-03-01,2023-03-02,304.7799987792969,101.0,10.0,1.0
2023-03-01,2023-03-02,310.29998779296875,101.0,10.0,1.0
2023-03-01,2023-03-02,304.0899963378906,101.0,10.0,1.0
2023-03-01,2023-03-02,303.4800109863281,101.0,10.0,1.0
2023-03-01,2023-03-02,304.3299865722656,101.0,10.0,1.0
2023-03-01,2023-03-02,304.6199951171875,101.0,10.0,1.0
2023-03-01,2023-03-02,304.97413444519196,101.0,10.0,1.0
2023-03-01,2023-03-02,306.739990234375,101.0,10.0,1.0
2023-03-01,2023-03-02,305.4800109863281,101.0,10.0,1.0
2023-03-01,2023-03-02,304.9100036621094,101.0,10.0,1.0
2023-03-01,2023-03-02,303.760009765625,101.0,10.0,1.0
2023-03-01,2023-03-02,309.5299987792969,101.0,10.0,1.0
2023-03-01,2023-03-02,305.989990234375,101.0,10.0,1.0
2023-03-01,2023-03-02,304.5199890136719,101.0,10.0,1.0
2023-03-01,2023-03-02,310.3999938964844,101.0,10.0,1.0
2023-03-01,2023-03-02,305.3500061035156,101.0,10.0,1.0
2023-03-01,2023-03-02,304.3399963378906,101.0,10.0,1.0
2023-03-01,2023-03-02,305.67999267578125,101.0,10.0,1.0
2023-03-01,2023-03-02,308.04998779296875,101.0,10.0,1.0
2023-03-01,2023-03-02,303.1600036621094,101.0,10.0,1.0
2023-03-01,2023-03-02,306.8299865722656,101.0,10.0,1.0
2023-03-01,2023-03-02,306.6400146484375,101.0,10.0,1.0
2023-03-01,2023-03-02,306.8699951171875,101.0,10.0,1.0
2023-03-01,2023-03-02,303.4100036621094,101.0,10.0,1.0
2023-03-01,2023-03-02,306.1000061035156,101.0,10.0,1.0
2023-03-01,2023-03-02,308.0899963378906,101.0,10.0,1.0
2023-03-01,2023-03-02,303.6400146484375,101.0,10.0,1.0
2023-03-01,2023-03-02,307.0299987792969,101.0,10.0,1.0
2023-03-01,2023-03-02,305.6199951171875,101.0,10.0,1.0
2023-03-01,2023-03-02,306.6300048828125,101.0,10.0,1.0
2023-03-01,2023-03-02,308.5299987792969,101.0,10.0,1.0
2023-03-01,2023-03-02,307.3399963378906,101.0,10.0,1.0
2023-03-01,2023-03-02,305.5799865722656,101.0,10.0,1.0
2023-03-01,2023-03-02,307.5199890136719,101.0,10.0,1.0
2023-03-01,2023-03-02,305.20001220703125,101.0,10.0,1.0
2023-03-01,2023-03-02,305.95001220703125,101.0,10.0,1.0
2023-03-01,2023-03-02,305.69000244140625,101.0,10.0,1.0
2023-03-01,2023-03-02,301.8299865722656,101.0,10.0,1.0
2023-03-01,2023-03-02,306.57000732421875,101.0,10.0,1.0
2023-03-01,2023-03-02,305.2200012207031,101.0,10.0,1.0
2023-03-01,2023-03-02,305.70001220703125,101.0,10.0,1.0
2023-03-01,2023-03-02,307.1199951171875,101.0,10.0,1.0
2023-03-01,2023-03-02,304.9700012207031,101.0,10.0,1.0
2023-03-01,2023-03-02,306.8131368160261,101.0,10.0,1.0
2023-03-01,2023-03-02,312.760009765625,101.0,10.0,1.0
2023-03-01,2023-03-02,310.0799865722656,101.0,10.0,1.0
2023-03-01,2023-03-02,304.7900085449219,101.0,10.0,1.0
2023-03-01,2023-03-02,305.8900146484375,101.0,10.0,1.0
2023-03-01,2023-03-02,306.82000732421875,101.0,10.0,1.0
2023-03-01,2023-03-02,305.8500061035156,101.0,10.0,1.0
2023-03-01,2023-03-02,305.6700134277344,101.0,10.0,1.0
2023-03-01,2023-03-02,310.9800109863281,101.0,10.0,1.0
2023-03-01,2023-03-02,305.8800048828125,101.0,10.0,1.0
